,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
14,2019-04-15,2752025.586390883,2715079.4632760286,2829088.5537266843,2752025.586390883,2752025.586390883,19951.25283428015,19951.25283428015,19951.25283428015,19951.25283428015,19951.25283428015,19951.25283428015,0.0,0.0,0.0,2771976.839225163
15,2019-04-16,2753621.8129320247,2725593.4703475228,2838465.04187316,2753621.8129320247,2753621.8129320247,27454.7817203677,27454.7817203677,27454.7817203677,27454.7817203677,27454.7817203677,27454.7817203677,0.0,0.0,0.0,2781076.5946523924
16,2019-04-17,2755218.039473166,2706912.601908592,2819393.912877923,2755218.039473166,2755218.039473166,8846.171934936569,8846.171934936569,8846.171934936569,8846.171934936569,8846.171934936569,8846.171934936569,0.0,0.0,0.0,2764064.211408103
17,2019-04-18,2756822.171522926,2677506.7476526606,2795576.229911739,2756822.171522926,2756822.171522926,-18532.547824213183,-18532.547824213183,-18532.547824213183,-18532.547824213183,-18532.547824213183,-18532.547824213183,0.0,0.0,0.0,2738289.623698713
18,2019-04-19,2758426.3035726864,2681833.092534591,2802444.31440397,2758426.3035726864,2758426.3035726864,-15852.14727608165,-15852.14727608165,-15852.14727608165,-15852.14727608165,-15852.14727608165,-15852.14727608165,0.0,0.0,0.0,2742574.156296605
19,2019-04-20,2760030.4356224462,2689286.0720414575,2797781.616361651,2760030.4356224462,2760030.4356224462,-17396.604059054593,-17396.604059054593,-17396.604059054593,-17396.604059054593,-17396.604059054593,-17396.604059054593,0.0,0.0,0.0,2742633.8315633917
20,2019-04-21,2762063.695686262,2697425.3280938677,2812242.226970538,2762063.695686262,2762063.695686262,-4470.9073301850685,-4470.9073301850685,-4470.9073301850685,-4470.9073301850685,-4470.9073301850685,-4470.9073301850685,0.0,0.0,0.0,2757592.788356077
21,2019-04-22,2764096.9557500775,2727011.7263997835,2840747.494570232,2764096.9557500775,2764096.9557500775,19951.252834234452,19951.252834234452,19951.252834234452,19951.252834234452,19951.252834234452,19951.252834234452,0.0,0.0,0.0,2784048.208584312
22,2019-04-23,2766130.2158138934,2731897.6271990254,2851081.2844742355,2766130.2158138934,2766130.2158138934,27454.781720391144,27454.781720391144,27454.781720391144,27454.781720391144,27454.781720391144,27454.781720391144,0.0,0.0,0.0,2793584.9975342844
23,2019-04-24,2768684.0055465302,2718969.880419485,2832614.9861841267,2768684.0055465302,2768684.0055465302,8846.171934926535,8846.171934926535,8846.171934926535,8846.171934926535,8846.171934926535,8846.171934926535,0.0,0.0,0.0,2777530.1774814567
24,2019-04-25,2771237.795279167,2695348.9039132837,2814749.9195227404,2771237.795279167,2771237.795279167,-18532.54782422075,-18532.54782422075,-18532.54782422075,-18532.54782422075,-18532.54782422075,-18532.54782422075,0.0,0.0,0.0,2752705.2474549464
25,2019-04-26,2773791.585011804,2698217.6362679563,2817895.6371617415,2773791.5850118035,2773791.5850118035,-15852.147276088894,-15852.147276088894,-15852.147276088894,-15852.147276088894,-15852.147276088894,-15852.147276088894,0.0,0.0,0.0,2757939.437735715
